cad_rule_id,rule_id,system_code,cad_task_type,cad_task_description,required_inputs,expected_output,blocking_rfi_condition,source_page,requires_human_review
CAD-011,IB2024-I01-004,LAN,system_diagram,依 1.1.4 無線區域網路 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"15,77",true
CAD-012,IB2024-I01-004,LAN,layout,依 1.1.4 無線區域網路 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"15,77",true
CAD-013,IB2024-I01-004,LAN,riser,依 1.1.4 無線區域網路 建立 riser 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,riser 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"15,77",true
CAD-014,IB2024-I01-005,LAN,system_diagram,依 1.1.5 無線物聯網網路 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_equipment_spec; missing_evidence_document,"15-16,77-78",true
CAD-015,IB2024-I01-005,LAN,layout,依 1.1.5 無線物聯網網路 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_equipment_spec; missing_evidence_document,"15-16,77-78",true
CAD-016,IB2024-I01-005,LAN,io_point_schedule,依 1.1.5 無線物聯網網路 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_equipment_spec; missing_evidence_document,"15-16,77-78",true
CAD-017,IB2024-I01-005,LAN,evidence_doc,依 1.1.5 無線物聯網網路 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_equipment_spec; missing_evidence_document,"15-16,77-78",true
CAD-018,IB2024-I01-006,LAN,system_diagram,依 1.1.6 行動寬頻專用電信網路 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_integration_interface,"16,78",true
CAD-019,IB2024-I01-006,LAN,layout,依 1.1.6 行動寬頻專用電信網路 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_integration_interface,"16,78",true
CAD-020,IB2024-I01-006,LAN,evidence_doc,依 1.1.6 行動寬頻專用電信網路 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_integration_interface,"16,78",true
CAD-021,IB2024-I01-007,LAN,device_schedule,依 1.2.1 佈線系統標示與識別 建立 device_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,device_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document,"16-17,79",true
CAD-022,IB2024-I01-007,LAN,evidence_doc,依 1.2.1 佈線系統標示與識別 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document,"16-17,79",true
CAD-023,IB2024-I01-008,LAN,evidence_doc,依 1.2.2 佈線系統檢測計畫及竣工檢測報告 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_testing_requirement; missing_evidence_document,"17,79-80",true
CAD-024,IB2024-I01-009,LAN,evidence_doc,依 1.2.3 佈線系統維運管理計畫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_integration_interface,"17,80-81",true
CAD-025,IB2024-I01-009,LAN,system_diagram,依 1.2.3 佈線系統維運管理計畫 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_integration_interface,"17,80-81",true
CAD-026,IB2024-I01-010,PARKING,system_diagram,依 1.2.4 電動車輛充電設備電能維運管理系統 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_system_boundary,"18,81",true
CAD-027,IB2024-I01-010,PARKING,layout,依 1.2.4 電動車輛充電設備電能維運管理系統 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_system_boundary,"18,81",true
CAD-028,IB2024-I01-010,PARKING,io_point_schedule,依 1.2.4 電動車輛充電設備電能維運管理系統 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_system_boundary,"18,81",true
CAD-029,IB2024-I01-011,BMS,evidence_doc,依 1.3.1 建築靜態數據庫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_system_boundary,"18,81",true
CAD-030,IB2024-I01-012,BMS,io_point_schedule,依 1.3.2 建築動態數據庫 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_scope; missing_evidence_document,"18-19,82",true
CAD-031,IB2024-I01-012,BMS,system_diagram,依 1.3.2 建築動態數據庫 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_scope; missing_evidence_document,"18-19,82",true
CAD-032,IB2024-I01-012,BMS,evidence_doc,依 1.3.2 建築動態數據庫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_scope; missing_evidence_document,"18-19,82",true
CAD-033,IB2024-I01-013,BMS,system_diagram,依 1.3.3 備援機制 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_evidence_document,"19-20,82",true
CAD-034,IB2024-I01-013,BMS,evidence_doc,依 1.3.3 備援機制 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_evidence_document,"19-20,82",true
CAD-035,IB2024-I01-014,LAN,system_diagram,依 1.3.4 資訊安全 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"20,83",true
CAD-036,IB2024-I01-014,LAN,evidence_doc,依 1.3.4 資訊安全 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"20,83",true
CAD-037,IB2024-I01-015,BMS,system_diagram,依 1.3.5 區塊鏈加密機制 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_system_boundary,"20-21,83",true
CAD-038,IB2024-I01-015,BMS,evidence_doc,依 1.3.5 區塊鏈加密機制 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_system_boundary,"20-21,83",true
CAD-039,IB2024-I02-001,BMS,system_diagram,依 2.1.1 建築智慧化規劃設計 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_evidence_document,"22,95",true
CAD-040,IB2024-I02-001,BMS,io_point_schedule,依 2.1.1 建築智慧化規劃設計 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_evidence_document,"22,95",true
CAD-041,IB2024-I02-001,BMS,evidence_doc,依 2.1.1 建築智慧化規劃設計 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_evidence_document,"22,95",true
CAD-042,IB2024-I02-002,BMS,system_diagram,依 2.1.2 智慧化系統需求與設計 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_scope,"22,95-96",true
CAD-043,IB2024-I02-002,BMS,io_point_schedule,依 2.1.2 智慧化系統需求與設計 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_scope,"22,95-96",true
CAD-044,IB2024-I02-003,BMS,system_diagram,依 2.1.3 平台管理計畫 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_testing_requirement,"22-23,96",true
CAD-045,IB2024-I02-003,BMS,evidence_doc,依 2.1.3 平台管理計畫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_testing_requirement,"22-23,96",true
CAD-046,IB2024-I02-004,BMS,device_schedule,依 2.1.4 使用管理計畫 建立 device_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,device_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document,"23-24,96-97",true
CAD-047,IB2024-I02-004,BMS,evidence_doc,依 2.1.4 使用管理計畫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document,"23-24,96-97",true
CAD-048,IB2024-I02-005,BMS,system_diagram,依 2.1.5 維運管理計畫 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_system_boundary,"24-25,97-98",true
CAD-049,IB2024-I02-005,BMS,evidence_doc,依 2.1.5 維運管理計畫 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document; missing_system_boundary,"24-25,97-98",true
CAD-050,IB2024-I02-006,SENSOR,system_diagram,依 2.2.1 工地安全管理 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,98-99",true
CAD-051,IB2024-I02-006,SENSOR,layout,依 2.2.1 工地安全管理 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,98-99",true
CAD-052,IB2024-I02-006,SENSOR,evidence_doc,依 2.2.1 工地安全管理 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,98-99",true
CAD-053,IB2024-I02-007,ACS,system_diagram,依 2.2.2 工地人員管理 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,99",true
CAD-054,IB2024-I02-007,ACS,layout,依 2.2.2 工地人員管理 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,99",true
CAD-055,IB2024-I02-007,ACS,evidence_doc,依 2.2.2 工地人員管理 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_equipment_spec,"25,99",true
CAD-056,IB2024-I02-008,UNKNOWN,evidence_doc,依 2.2.3 工地資材管理 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope,"25-26,99-100",true
CAD-057,IB2024-I02-009,BMS,system_diagram,依 2.3.1 智慧建築監控 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"26,100-101",true
CAD-058,IB2024-I02-009,BMS,io_point_schedule,依 2.3.1 智慧建築監控 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"26,100-101",true
CAD-059,IB2024-I02-009,BMS,evidence_doc,依 2.3.1 智慧建築監控 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"26,100-101",true
CAD-060,IB2024-I02-010,BMS,evidence_doc,依 2.3.2 建築維運管理 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_evidence_document,"27,101",true
CAD-061,IB2024-I02-011,BMS,system_diagram,依 2.3.3 行動化管理 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"27,101-102",true
CAD-062,IB2024-I02-011,BMS,evidence_doc,依 2.3.3 行動化管理 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"27,101-102",true
CAD-063,IB2024-I02-012,BMS,system_diagram,依 2.3.4 建築資訊模型 BIM 整合 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_evidence_document,"27-28,102",true
CAD-064,IB2024-I02-012,BMS,evidence_doc,依 2.3.4 建築資訊模型 BIM 整合 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_evidence_document,"27-28,102",true
CAD-065,IB2024-I02-013,BMS,io_point_schedule,依 2.3.5 營運數據應用 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"28,102",true
CAD-066,IB2024-I02-013,BMS,system_diagram,依 2.3.5 營運數據應用 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"28,102",true
CAD-067,IB2024-I02-013,BMS,evidence_doc,依 2.3.5 營運數據應用 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_integration_interface; missing_testing_requirement,"28,102",true
CAD-068,IB2024-I03-001,FAS,layout,依 3.1.1.1 火警偵知 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"29,109",true
CAD-069,IB2024-I03-001,FAS,system_diagram,依 3.1.1.1 火警偵知 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"29,109",true
CAD-070,IB2024-I03-001,FAS,io_point_schedule,依 3.1.1.1 火警偵知 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_integration_interface,"29,109",true
CAD-071,IB2024-I03-002,FAS,layout,依 3.1.1.2 防火門狀態偵知 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec,"29-30,109-110",true
CAD-072,IB2024-I03-002,FAS,io_point_schedule,依 3.1.1.2 防火門狀態偵知 建立 io_point_schedule 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,io_point_schedule 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec,"29-30,109-110",true
CAD-073,IB2024-I03-002,FAS,system_diagram,依 3.1.1.2 防火門狀態偵知 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec,"29-30,109-110",true
CAD-074,IB2024-I03-003,EMS,system_diagram,依 3.1.1.3 用電異常偵測 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_equipment_spec; missing_testing_requirement,"30,110",true
