evidence_rule_id,rule_id,evidence_type,evidence_name,description,related_system_code,related_cad_task_type,source_page,source_excerpt,requires_human_review
EV-011,IB2024-I01-003,photo,佐證照片,用於佐證 1.1.3 公眾行動通信涵蓋 的需求、設計、竣工、測試或平台畫面。,TEL;LAN,riser;layout;evidence_doc,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊,true
EV-012,IB2024-I01-004,drawing,規劃架構圖說,用於佐證 1.1.4 無線區域網路 的需求、設計、竣工、測試或平台畫面。,LAN,system_diagram;layout;riser,"15,77",適當公共空間或必要之工作區域,true
EV-013,IB2024-I01-004,drawing,配置平面圖說,用於佐證 1.1.4 無線區域網路 的需求、設計、竣工、測試或平台畫面。,LAN,system_diagram;layout;riser,"15,77",適當公共空間或必要之工作區域,true
EV-014,IB2024-I01-004,drawing,配置昇位圖說,用於佐證 1.1.4 無線區域網路 的需求、設計、竣工、測試或平台畫面。,LAN,system_diagram;layout;riser,"15,77",適當公共空間或必要之工作區域,true
EV-015,IB2024-I01-004,drawing,竣工架構圖說,用於佐證 1.1.4 無線區域網路 的需求、設計、竣工、測試或平台畫面。,LAN,system_diagram;layout;riser,"15,77",適當公共空間或必要之工作區域,true
EV-016,IB2024-I01-005,drawing,規劃架構圖說,用於佐證 1.1.5 無線物聯網網路 的需求、設計、竣工、測試或平台畫面。,LAN;SENSOR;IAQ;BMS,system_diagram;layout;io_point_schedule;evidence_doc,"15-16,77-78",蒐集建築物環境數據或維運管理資訊,true
EV-017,IB2024-I01-005,drawing,配置平面圖說,用於佐證 1.1.5 無線物聯網網路 的需求、設計、竣工、測試或平台畫面。,LAN;SENSOR;IAQ;BMS,system_diagram;layout;io_point_schedule;evidence_doc,"15-16,77-78",蒐集建築物環境數據或維運管理資訊,true
EV-018,IB2024-I01-005,spec,設計規範,用於佐證 1.1.5 無線物聯網網路 的需求、設計、竣工、測試或平台畫面。,LAN;SENSOR;IAQ;BMS,system_diagram;layout;io_point_schedule;evidence_doc,"15-16,77-78",蒐集建築物環境數據或維運管理資訊,true
EV-019,IB2024-I01-005,other,租用服務契約,用於佐證 1.1.5 無線物聯網網路 的需求、設計、竣工、測試或平台畫面。,LAN;SENSOR;IAQ;BMS,system_diagram;layout;io_point_schedule;evidence_doc,"15-16,77-78",蒐集建築物環境數據或維運管理資訊,true
EV-020,IB2024-I01-005,photo,佐證照片,用於佐證 1.1.5 無線物聯網網路 的需求、設計、竣工、測試或平台畫面。,LAN;SENSOR;IAQ;BMS,system_diagram;layout;io_point_schedule;evidence_doc,"15-16,77-78",蒐集建築物環境數據或維運管理資訊,true
EV-021,IB2024-I01-006,drawing,竣工架構圖說,用於佐證 1.1.6 行動寬頻專用電信網路 的需求、設計、竣工、測試或平台畫面。,LAN;TEL,system_diagram;layout;evidence_doc,"16,78",人工智慧與物聯網等應用整合平台的專用網路,true
EV-022,IB2024-I01-006,drawing,配置平面圖說,用於佐證 1.1.6 行動寬頻專用電信網路 的需求、設計、竣工、測試或平台畫面。,LAN;TEL,system_diagram;layout;evidence_doc,"16,78",人工智慧與物聯網等應用整合平台的專用網路,true
EV-023,IB2024-I01-006,spec,設計規範,用於佐證 1.1.6 行動寬頻專用電信網路 的需求、設計、竣工、測試或平台畫面。,LAN;TEL,system_diagram;layout;evidence_doc,"16,78",人工智慧與物聯網等應用整合平台的專用網路,true
EV-024,IB2024-I01-006,other,租用服務契約,用於佐證 1.1.6 行動寬頻專用電信網路 的需求、設計、竣工、測試或平台畫面。,LAN;TEL,system_diagram;layout;evidence_doc,"16,78",人工智慧與物聯網等應用整合平台的專用網路,true
EV-025,IB2024-I01-006,photo,佐證照片,用於佐證 1.1.6 行動寬頻專用電信網路 的需求、設計、竣工、測試或平台畫面。,LAN;TEL,system_diagram;layout;evidence_doc,"16,78",人工智慧與物聯網等應用整合平台的專用網路,true
EV-026,IB2024-I01-007,other,標示與識別規劃說明,用於佐證 1.2.1 佈線系統標示與識別 的需求、設計、竣工、測試或平台畫面。,LAN,device_schedule;evidence_doc,"16-17,79",標示與可識別機制或參考 TIA-606,true
EV-027,IB2024-I01-007,other,竣工說明,用於佐證 1.2.1 佈線系統標示與識別 的需求、設計、竣工、測試或平台畫面。,LAN,device_schedule;evidence_doc,"16-17,79",標示與可識別機制或參考 TIA-606,true
EV-028,IB2024-I01-007,photo,標示照片佐證,用於佐證 1.2.1 佈線系統標示與識別 的需求、設計、竣工、測試或平台畫面。,LAN,device_schedule;evidence_doc,"16-17,79",標示與可識別機制或參考 TIA-606,true
EV-029,IB2024-I01-008,other,檢測計畫,用於佐證 1.2.2 佈線系統檢測計畫及竣工檢測報告 的需求、設計、竣工、測試或平台畫面。,LAN,evidence_doc,"17,79-80",傳輸特性測試；鏈結損失測試；無線訊號強度測試,true
EV-030,IB2024-I01-008,report,竣工檢測報告,用於佐證 1.2.2 佈線系統檢測計畫及竣工檢測報告 的需求、設計、竣工、測試或平台畫面。,LAN,evidence_doc,"17,79-80",傳輸特性測試；鏈結損失測試；無線訊號強度測試,true
EV-031,IB2024-I01-009,operation_document,佈線維運管理計畫,用於佐證 1.2.3 佈線系統維運管理計畫 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,evidence_doc;system_diagram,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化,true
EV-032,IB2024-I01-009,operation_document,維運管理手冊,用於佐證 1.2.3 佈線系統維運管理計畫 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,evidence_doc;system_diagram,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化,true
EV-033,IB2024-I01-009,drawing,系統截圖,用於佐證 1.2.3 佈線系統維運管理計畫 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,evidence_doc;system_diagram,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化,true
EV-034,IB2024-I01-009,drawing,BIM 或 3D 截圖,用於佐證 1.2.3 佈線系統維運管理計畫 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,evidence_doc;system_diagram,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化,true
EV-035,IB2024-I01-010,drawing,電能維運管理系統架構圖,用於佐證 1.2.4 電動車輛充電設備電能維運管理系統 的需求、設計、竣工、測試或平台畫面。,PARKING;EMS;BMS,system_diagram;layout;io_point_schedule,"18,81",停車空間導入電動車輛電能管理系統,true
EV-036,IB2024-I01-010,drawing,電力單線圖,用於佐證 1.2.4 電動車輛充電設備電能維運管理系統 的需求、設計、竣工、測試或平台畫面。,PARKING;EMS;BMS,system_diagram;layout;io_point_schedule,"18,81",停車空間導入電動車輛電能管理系統,true
EV-037,IB2024-I01-010,photo,系統畫面,用於佐證 1.2.4 電動車輛充電設備電能維運管理系統 的需求、設計、竣工、測試或平台畫面。,PARKING;EMS;BMS,system_diagram;layout;io_point_schedule,"18,81",停車空間導入電動車輛電能管理系統,true
EV-038,IB2024-I01-011,other,靜態數據庫規劃內容,用於佐證 1.3.1 建築靜態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,evidence_doc,"18,81",BIM、CAD 或 PMIS 等圖資數據,true
EV-039,IB2024-I01-011,drawing,欄位畫面截圖,用於佐證 1.3.1 建築靜態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,evidence_doc,"18,81",BIM、CAD 或 PMIS 等圖資數據,true
EV-040,IB2024-I01-011,other,服務契約,用於佐證 1.3.1 建築靜態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,evidence_doc,"18,81",BIM、CAD 或 PMIS 等圖資數據,true
EV-041,IB2024-I01-012,other,動態數據庫規劃內容,用於佐證 1.3.2 建築動態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR;CCTV;ACS;PARKING;INTERCOM;FAS;EMS,io_point_schedule;system_diagram;evidence_doc,"18-19,82",動態數據須具備資料介接、互通與交換,true
EV-042,IB2024-I01-012,drawing,欄位畫面截圖,用於佐證 1.3.2 建築動態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR;CCTV;ACS;PARKING;INTERCOM;FAS;EMS,io_point_schedule;system_diagram;evidence_doc,"18-19,82",動態數據須具備資料介接、互通與交換,true
EV-043,IB2024-I01-012,other,服務契約,用於佐證 1.3.2 建築動態數據庫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR;CCTV;ACS;PARKING;INTERCOM;FAS;EMS,io_point_schedule;system_diagram;evidence_doc,"18-19,82",動態數據須具備資料介接、互通與交換,true
EV-044,IB2024-I01-013,other,備援規劃架構,用於佐證 1.3.3 備援機制 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"19-20,82",建築數據庫備援；網路備援；系統備援,true
EV-045,IB2024-I01-013,other,竣工架構與功能說明,用於佐證 1.3.3 備援機制 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"19-20,82",建築數據庫備援；網路備援；系統備援,true
EV-046,IB2024-I01-013,spec,設備型錄,用於佐證 1.3.3 備援機制 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"19-20,82",建築數據庫備援；網路備援；系統備援,true
EV-047,IB2024-I01-013,other,服務契約,用於佐證 1.3.3 備援機制 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"19-20,82",建築數據庫備援；網路備援；系統備援,true
EV-048,IB2024-I01-013,photo,照片,用於佐證 1.3.3 備援機制 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"19-20,82",建築數據庫備援；網路備援；系統備援,true
EV-049,IB2024-I01-014,other,資安機制規劃架構,用於佐證 1.3.4 資訊安全 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,system_diagram;evidence_doc,"20,83",網路、設備、使用者及資料系統需設置適當資訊安全機制,true
EV-050,IB2024-I01-014,other,竣工架構與功能說明,用於佐證 1.3.4 資訊安全 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,system_diagram;evidence_doc,"20,83",網路、設備、使用者及資料系統需設置適當資訊安全機制,true
EV-051,IB2024-I01-014,other,認證資料,用於佐證 1.3.4 資訊安全 的需求、設計、竣工、測試或平台畫面。,LAN;BMS,system_diagram;evidence_doc,"20,83",網路、設備、使用者及資料系統需設置適當資訊安全機制,true
EV-052,IB2024-I01-015,other,區塊鏈加密機制架構,用於佐證 1.3.5 區塊鏈加密機制 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;CCTV;INTERCOM,system_diagram;evidence_doc,"20-21,83",保全、門禁管理、緊急對講、監視攝影、主機登入紀錄,true
EV-053,IB2024-I01-015,other,資料類別說明,用於佐證 1.3.5 區塊鏈加密機制 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;CCTV;INTERCOM,system_diagram;evidence_doc,"20-21,83",保全、門禁管理、緊急對講、監視攝影、主機登入紀錄,true
EV-054,IB2024-I01-015,other,帳本展示,用於佐證 1.3.5 區塊鏈加密機制 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;CCTV;INTERCOM,system_diagram;evidence_doc,"20-21,83",保全、門禁管理、緊急對講、監視攝影、主機登入紀錄,true
EV-055,IB2024-I02-001,drawing,智慧化系統規劃設計圖說,用於佐證 2.1.1 建築智慧化規劃設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;SENSOR,system_diagram;io_point_schedule;evidence_doc,"22,95",建築智慧化需求、服務目的及智慧化系統規劃設計圖說,true
EV-056,IB2024-I02-001,schedule,智慧化功能 I/O 點數表,用於佐證 2.1.1 建築智慧化規劃設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;SENSOR,system_diagram;io_point_schedule;evidence_doc,"22,95",建築智慧化需求、服務目的及智慧化系統規劃設計圖說,true
EV-057,IB2024-I02-001,drawing,竣工圖,用於佐證 2.1.1 建築智慧化規劃設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;SENSOR,system_diagram;io_point_schedule;evidence_doc,"22,95",建築智慧化需求、服務目的及智慧化系統規劃設計圖說,true
EV-058,IB2024-I02-002,drawing,互動關聯性流程圖,用於佐證 2.1.2 智慧化系統需求與設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule,"22,95-96",跨系統整合之智慧化具體互動關聯性作為,true
EV-059,IB2024-I02-002,schedule,I/O 功能點數表,用於佐證 2.1.2 智慧化系統需求與設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule,"22,95-96",跨系統整合之智慧化具體互動關聯性作為,true
EV-060,IB2024-I02-002,other,功能說明書,用於佐證 2.1.2 智慧化系統需求與設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule,"22,95-96",跨系統整合之智慧化具體互動關聯性作為,true
EV-061,IB2024-I02-002,operation_document,操作影片,用於佐證 2.1.2 智慧化系統需求與設計 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule,"22,95-96",跨系統整合之智慧化具體互動關聯性作為,true
EV-062,IB2024-I02-003,spec,平台預警功能規範,用於佐證 2.1.3 平台管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"22-23,96",運轉資訊異常預警通知；網路資訊異常警示,true
EV-063,IB2024-I02-003,spec,網路異常警示規範,用於佐證 2.1.3 平台管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"22-23,96",運轉資訊異常預警通知；網路資訊異常警示,true
EV-064,IB2024-I02-003,operation_document,操作畫面或影片,用於佐證 2.1.3 平台管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;LAN,system_diagram;evidence_doc,"22-23,96",運轉資訊異常預警通知；網路資訊異常警示,true
EV-065,IB2024-I02-004,spec,固定資產管理規範,用於佐證 2.1.4 使用管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR,device_schedule;evidence_doc,"23-24,96-97",智慧化設施設備(含感測器)管理維護規範,true
EV-066,IB2024-I02-004,spec,智慧化設施設備維護規範,用於佐證 2.1.4 使用管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR,device_schedule;evidence_doc,"23-24,96-97",智慧化設施設備(含感測器)管理維護規範,true
EV-067,IB2024-I02-004,other,績效評估標準,用於佐證 2.1.4 使用管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS;SENSOR,device_schedule;evidence_doc,"23-24,96-97",智慧化設施設備(含感測器)管理維護規範,true
EV-068,IB2024-I02-005,spec,維運管理系統規範,用於佐證 2.1.5 維運管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫,true
EV-069,IB2024-I02-005,other,5 年修繕計畫,用於佐證 2.1.5 維運管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫,true
EV-070,IB2024-I02-005,other,危機處理與緊急應變計畫,用於佐證 2.1.5 維運管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫,true
EV-071,IB2024-I02-005,operation_document,操作畫面,用於佐證 2.1.5 維運管理計畫 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫,true
EV-072,IB2024-I02-006,drawing,架構圖說,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-073,IB2024-I02-006,other,管理計畫書,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-074,IB2024-I02-006,spec,系統或設備規格書,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-075,IB2024-I02-006,photo,現場照片,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-076,IB2024-I02-006,photo,影片,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-077,IB2024-I02-006,photo,系統畫面,用於佐證 2.2.1 工地安全管理 的需求、設計、竣工、測試或平台畫面。,SENSOR;CCTV,system_diagram;layout;evidence_doc,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測,true
EV-078,IB2024-I02-007,drawing,架構圖說,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-079,IB2024-I02-007,other,管理計畫書,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-080,IB2024-I02-007,spec,規格書,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-081,IB2024-I02-007,photo,現場照片,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-082,IB2024-I02-007,photo,影片,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-083,IB2024-I02-007,photo,系統畫面,用於佐證 2.2.2 工地人員管理 的需求、設計、竣工、測試或平台畫面。,ACS;SENSOR,system_diagram;layout;evidence_doc,"25,99",實名制管理、定位追蹤,true
EV-084,IB2024-I02-008,drawing,架構圖說,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-085,IB2024-I02-008,other,管理計畫書,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-086,IB2024-I02-008,spec,規格書,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-087,IB2024-I02-008,photo,現場照片,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-088,IB2024-I02-008,photo,影片,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-089,IB2024-I02-008,photo,系統畫面,用於佐證 2.2.3 工地資材管理 的需求、設計、竣工、測試或平台畫面。,UNKNOWN,evidence_doc,"25-26,99-100",資材庫存管理、物料追蹤管理,true
EV-090,IB2024-I02-009,spec,平台規範,用於佐證 2.3.1 智慧建築監控 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;FAS;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule;evidence_doc,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖,true
EV-091,IB2024-I02-009,drawing,平台架構圖(含整合協定),用於佐證 2.3.1 智慧建築監控 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;FAS;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule;evidence_doc,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖,true
EV-092,IB2024-I02-009,schedule,智慧化功能 I/O 點數表,用於佐證 2.3.1 智慧建築監控 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;FAS;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule;evidence_doc,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖,true
EV-093,IB2024-I02-009,operation_document,操作畫面,用於佐證 2.3.1 智慧建築監控 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;FAS;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule;evidence_doc,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖,true
EV-094,IB2024-I02-009,other,使用說明書,用於佐證 2.3.1 智慧建築監控 的需求、設計、竣工、測試或平台畫面。,BMS;LAN;FAS;CCTV;ACS;EMS;SENSOR,system_diagram;io_point_schedule;evidence_doc,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖,true
EV-095,IB2024-I02-010,spec,建築維運管理規範,用於佐證 2.3.2 建築維運管理 的需求、設計、竣工、測試或平台畫面。,BMS,evidence_doc,"27,101",故障紀錄功能並供使用者查詢；產製管理報表,true
EV-096,IB2024-I02-010,operation_document,操作畫面,用於佐證 2.3.2 建築維運管理 的需求、設計、竣工、測試或平台畫面。,BMS,evidence_doc,"27,101",故障紀錄功能並供使用者查詢；產製管理報表,true
EV-097,IB2024-I02-010,photo,使用說明書或影片,用於佐證 2.3.2 建築維運管理 的需求、設計、竣工、測試或平台畫面。,BMS,evidence_doc,"27,101",故障紀錄功能並供使用者查詢；產製管理報表,true
EV-098,IB2024-I02-011,spec,行動裝置軟體規範,用於佐證 2.3.3 行動化管理 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;PARKING,system_diagram;evidence_doc,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊,true
EV-099,IB2024-I02-011,drawing,系統架構圖,用於佐證 2.3.3 行動化管理 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;PARKING,system_diagram;evidence_doc,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊,true
EV-100,IB2024-I02-011,operation_document,操作照片或影片,用於佐證 2.3.3 行動化管理 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;PARKING,system_diagram;evidence_doc,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊,true
EV-101,IB2024-I02-011,drawing,竣工圖,用於佐證 2.3.3 行動化管理 的需求、設計、竣工、測試或平台畫面。,BMS;ACS;PARKING,system_diagram;evidence_doc,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊,true
EV-102,IB2024-I02-012,photo,BIM 整合功能畫面,用於佐證 2.3.4 建築資訊模型 BIM 整合 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示,true
EV-103,IB2024-I02-012,report,設計規劃成果,用於佐證 2.3.4 建築資訊模型 BIM 整合 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示,true
EV-104,IB2024-I02-012,spec,產品規格書,用於佐證 2.3.4 建築資訊模型 BIM 整合 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示,true
EV-105,IB2024-I02-012,operation_document,操作照片或影片,用於佐證 2.3.4 建築資訊模型 BIM 整合 的需求、設計、竣工、測試或平台畫面。,BMS,system_diagram;evidence_doc,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示,true
EV-106,IB2024-I02-013,other,營運數據分析規劃,用於佐證 2.3.5 營運數據應用 的需求、設計、竣工、測試或平台畫面。,BMS;EMS;SENSOR;FAS,io_point_schedule;system_diagram;evidence_doc,"28,102",營運數據後端分析與推估預測功能,true
EV-107,IB2024-I02-013,schedule,相關點數表,用於佐證 2.3.5 營運數據應用 的需求、設計、竣工、測試或平台畫面。,BMS;EMS;SENSOR;FAS,io_point_schedule;system_diagram;evidence_doc,"28,102",營運數據後端分析與推估預測功能,true
EV-108,IB2024-I02-013,other,預期成效,用於佐證 2.3.5 營運數據應用 的需求、設計、竣工、測試或平台畫面。,BMS;EMS;SENSOR;FAS,io_point_schedule;system_diagram;evidence_doc,"28,102",營運數據後端分析與推估預測功能,true
EV-109,IB2024-I02-013,operation_document,操作照片或影片,用於佐證 2.3.5 營運數據應用 的需求、設計、竣工、測試或平台畫面。,BMS;EMS;SENSOR;FAS,io_point_schedule;system_diagram;evidence_doc,"28,102",營運數據後端分析與推估預測功能,true
